hmid,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category
27673,2053,24h,I went on a successful date with someone I felt sympathy and connection with.,I went on a successful date with someone I felt sympathy and connection with.,TRUE,1,,affection
27674,2,24h,I was happy when my son got 90% marks in his examination ,I was happy when my son got 90% marks in his examination ,TRUE,1,,affection
27675,1936,24h,I went to the gym this morning and did yoga.,I went to the gym this morning and did yoga.,TRUE,1,,exercise
27676,206,24h,We had a serious talk with some friends of ours who have been flaky lately. They understood and we had a good evening hanging out.,We had a serious talk with some friends of ours who have been flaky lately. They understood and we had a good evening hanging out.,TRUE,2,bonding,bonding
27677,6227,24h,"I went with grandchildren to butterfly display at Crohn Conservatory
","I went with grandchildren to butterfly display at Crohn Conservatory
",TRUE,1,,affection
27678,45,24h,I meditated last night.,I meditated last night.,TRUE,1,leisure,leisure
27679,195,24h,"I made a new recipe for peasant bread, and it came out spectacular!","I made a new recipe for peasant bread, and it came out spectacular!",TRUE,1,,achievement
27680,740,24h,I got gift from my elder brother which was really surprising me,I got gift from my elder brother which was really surprising me,TRUE,1,,affection
27681,3,24h,YESTERDAY MY MOMS BIRTHDAY SO I ENJOYED,YESTERDAY MY MOMS BIRTHDAY SO I ENJOYED,TRUE,1,,enjoy_the_moment
27682,4833,24h,Watching cupcake wars with my three teen children,Watching cupcake wars with my three teen children,TRUE,1,,affection
27683,7334,24h,I came in 3rd place in my Call of Duty video game.,I came in 3rd place in my Call of Duty video game.,TRUE,1,,leisure
27684,78,24h,I completed my 5 miles run without break. It makes me feel strong.,I completed my 5 miles run without break. It makes me feel strong.,TRUE,2,,exercise
27685,21,24h,went to movies with my friends it was fun ,went to movies with my friends it was fun ,TRUE,1,,bonding
27686,8,24h,I was shorting Gold and made $200 from the trade.,I was shorting Gold and made $200 from the trade.,TRUE,1,,achievement
27687,586,24h,"Hearing Songs It can be nearly impossible to go from angry to happy, so youare just looking for the thought that eases you out of your angry feeling and moves you in the direction of happiness. It may take a while, but as long as youare headed in a more positive direction youall be doing yourself a world of good.","Hearing Songs It can be nearly impossible to go from angry to happy, so you're just looking for the thought that eases you out of your angry feeling and moves you in the direction of happiness. It may take a while, but as long as you're headed in a more positive direction youall be doing yourself a world of good.",FALSE,2,,enjoy_the_moment
27688,489,24h,My son performed very well for a test preparation.,My son performed very well for a test preparation.,TRUE,1,,affection
27689,976,24h,I helped my neighbour to fix their car damages. ,I helped my neighbour to fix their car damages. ,TRUE,1,,bonding
27690,3972,24h,Managed to get the final trophy in a game I was playing. ,Managed to get the final trophy in a game I was playing. ,TRUE,1,,achievement
27691,14,24h,A hot kiss with my girl friend last night made my day,A hot kiss with my girl friend last night made my day,TRUE,1,,bonding
27692,1230,24h,My new BCAAs came in the mail. Yay! Strawberry Lemonade flavored aminos make my heart happy.,My new BCAAs came in the mail. Yay! Strawberry Lemonade flavored aminos make my heart happy.,TRUE,3,,affection
27693,9950,24h,Got A in class.,Got A in class.,TRUE,1,,achievement
27694,4862,24h,My sister called me from abroad this morning after some long years. Such a happy occassion for all family members.,My sister called me from abroad this morning after some long years. Such a happy occassion for all family members.,TRUE,2,,affection
27695,4891,24h,The cake I made today came out amazing. It tasted amazing as well.,The cake I made today came out amazing. It tasted amazing as well.,TRUE,2,,achievement
27696,737,24h,"There are two types of people in the world: those who choose to be happy, and those who choose to be unhappy. Contrary to popular belief, happiness doesnat come from fame, fortune, other people, or material possessions","There are two types of people in the world: those who choose to be happy, and those who choose to be unhappy. Contrary to popular belief, happiness doesn't come from fame, fortune, other people, or material possessions",FALSE,2,,enjoy_the_moment
27697,498,24h,My grandmother start to walk from the bed after a long time.,My grandmother start to walk from the bed after a long time.,TRUE,1,affection,affection
27698,2124,24h,i was able to hit a top spin serve in tennis,i was able to hit a top spin serve in tennis,TRUE,1,,achievement
27699,156,24h,I napped with my husband on the bed this afternoon and it was sweet to cuddle so close to him.,I napped with my husband on the bed this afternoon and it was sweet to cuddle so close to him.,TRUE,1,,affection
27700,1783,24h,My co-woker started playing a Carley Rae Jepsen song from her phone while ringing out customers.,My co-woker started playing a Carley Rae Jepsen song from her phone while ringing out customers.,TRUE,1,,leisure
27701,3382,24h,"My son woke me up to a fantastic breakfast of eggs, his special hamburger patty and pancakes. ","My son woke me up to a fantastic breakfast of eggs, his special hamburger patty and pancakes. ",TRUE,1,,affection
27702,54,24h,After a long time my brother gave a suprise visit to my house yesterday.,After a long time my brother gave a suprise visit to my house yesterday.,TRUE,1,,affection
27703,794,24h,I went to the movies with my sister today for the first time since a long time.,I went to the movies with my sister today for the first time since a long time.,TRUE,1,,affection
27704,1510,24h,I consumed a well garnished bowl of ramen twice today. It was so delicious.,I consumed a well garnished bowl of ramen twice today. It was so delicious.,TRUE,2,,achievement
27705,5732,24h,I picked my daughter up from the airport and we have a fun and good conversation on the way home.,I picked my daughter up from the airport and we have a fun and good conversation on the way home.,TRUE,1,bonding,affection
27706,6215,24h,"My daughter waved at me and said ""mama"" for the first time when I came home this morning","My daughter waved at me and said ""mama"" for the first time when I came home this morning",TRUE,1,,affection
27707,402,24h,Going to the mountains and hiking the trail to the top.,Going to the mountains and hiking the trail to the top.,TRUE,1,,nature
27708,2957,24h,"We were competing against another team in a online game, I was playing with my friends most of them were my childhood friends, 
we grew up together and went to the same school since we're just kids. We've been playing this game together for almost 2 years 
now and we kinda formed a team for ourselves for this game. The game started smoothly and everyone was being hyped about the fight. 
Slowly, things started to become interesting and exciting then before we know it it became a close fight where the score was 2-2, 
1 more point
and the winner will be declared. Everyone was looking up to me since they knew I was the best within my friends in
this particular game. I started commanding them to what to do and what to expect against our enemies. This game,
 It was a team based game, 5 vs 5. My team was starting to fail and demoralization ensues 
but I tried and did my best, before I knew it, we won! I maneuvered through each attack of the enemy and with skill
and with some luck I dodged and countered them.","We were competing against another team in a online game, I was playing with my friends most of them were my childhood friends, 
we grew up together and went to the same school since we're just kids. We've been playing this game together for almost 2 years 
now and we kinda formed a team for ourselves for this game. The game started smoothly and everyone was being hyped about the fight. 
Slowly, things started to become interesting and exciting then before we know it it became a close fight where the score was 2-2, 
1 more point
and the winner will be declared. Everyone was looking up to me since they knew I was the best within my friends in
this particular game. I started commanding them to what to do and what to expect against our enemies. This game,
 It was a team based game, 5 vs 5. My team was starting to fail and demoralization ensues 
but I tried and did my best, before I knew it, we won! I maneuvered through each attack of the enemy and with skill
and with some luck I dodged and countered them.",TRUE,9,,bonding
27709,261,24h,"I went for a run in the neighborhood. I enjoyed the perfect weather.
","I went for a run in the neighborhood. I enjoyed the perfect weather.
",TRUE,2,,nature
27710,516,24h,I hang out with my fiancee and we had dinner together,I hang out with my fiancee and we had dinner together,TRUE,1,,affection
27711,1215,24h,The offsite with colleagues was great fun. We had stimulating discussions.,The offsite with colleagues was great fun. We had stimulating discussions.,TRUE,2,,bonding
27712,848,24h,My older daughter keeps patting my younger daughter's head.,My older daughter keeps patting my younger daughter's head.,TRUE,1,,affection
27713,396,24h,"I was feeling lonely after a long day's work. When I called my husband, he said he is on the way to pick me up as his meeting was over. I was surprised and excited.","I was feeling lonely after a long day's work. When I called my husband, he said he is on the way to pick me up as his meeting was over. I was surprised and excited.",TRUE,3,,affection
27714,4,24h,I received an award for my work on a tough loan process that I helped develop.,I received an award for my work on a tough loan process that I helped develop.,TRUE,1,,achievement
